sample_id,dry_weight,dry_weight_lci,dry_weight_uci,table_key
166-231218,0.0,0.0,0.0,INF_B133
166-231220,1942.9996524937096,1009.7057024413468,3326.447262737845,INF_B134
166-231222,0.0,0.0,0.0,INF_B135
166-231226,35349.523077510654,27313.88775774936,44050.41204051151,INF_B136
166-231227,12411.284998853696,10138.409313689292,15001.250016434387,INF_B137
166-231229,12633.855670588238,8660.344209882354,17670.451822745104,INF_B138
166-240102,15042.874247490994,12168.72094665066,18319.55677877551,INF_B139
166-240103,14491.869520079765,9485.36401100698,19989.131432263213,INF_B140
166-240105,5684.040544707552,3001.7030053967464,8656.937849778891,INF_B141
166-240108,13667.990227563025,10330.817210308123,17656.58511652661,INF_B142
166-240110,7659.451735655396,5401.2847625752665,9856.946296174156,INF_B143
166-240112,6384.094261112472,3520.718754032941,9545.144977618824,INF_B144
166-240116,20076.427175269087,16005.790186332915,23957.89620335419,INF_B145
166-240117,6439.837786174729,3633.333028388444,9728.240138002086,INF_B146
166-240119,9407.489714,6730.964476962567,12714.444572121214,INF_B147
166-240122,22501.0429824,18222.643730672942,27402.250937675293,INF_B148
166-240124,17078.577923657143,13709.161147052102,20504.54448812101,INF_B149
166-240126,20661.084865187528,15925.129644721676,25648.371952688507,INF_B150
166-240129,31446.879431529414,26571.067447355123,36886.56588604794,INF_B151
166-240131,33395.37612657863,26342.58596360144,40024.006126482585,INF_B152
166-240202,20633.350803804755,17303.059816871086,24366.24265401752,INF_B153
166-240205,56941.818502435024,48402.26414686732,66153.56257466486,INF_B154
166-240207,34404.82979879952,29969.962819303724,39338.06608307323,INF_B155
166-240209,53722.361923812365,45829.57703314967,60808.62515276248,INF_B156
166-240212,43235.90855346004,36140.99160200302,51560.707839034694,INF_B157
166-240214,80934.48487619047,72092.08021640655,90472.98698039216,INF_B158
166-240216,56647.186371157506,50294.43201356105,63149.26665249843,INF_B159
166-240220,131402.29054578368,109769.75780304403,160619.02908761826,INF_B160
166-240221,91547.65174471628,78344.40298,102969.86813034878,INF_B161
106-221219,0.0,0.0,0.0,INF_B162
106-221221,0.0,0.0,0.0,INF_B163
106-221228,0.0,0.0,0.0,INF_B164
106-221230,0.0,0.0,0.0,INF_B165
106-230104,0.0,0.0,0.0,INF_B166
106-230106,3066.238782033098,1593.4089963120568,5249.465329172578,INF_B167
106-230109,0.0,0.0,0.0,INF_B168
106-230111,0.0,0.0,0.0,INF_B169
106-230113,0.0,0.0,0.0,INF_B170
106-230116,0.0,0.0,0.0,INF_B171
106-230118,0.0,0.0,0.0,INF_B172
106-230123,0.0,0.0,0.0,INF_B173
106-230125,0.0,0.0,0.0,INF_B174
106-230127,0.0,0.0,0.0,INF_B175
106-230130,0.0,0.0,0.0,INF_B176
106-230201,0.0,0.0,0.0,INF_B177
106-230203,0.0,0.0,0.0,INF_B178
106-230206,0.0,0.0,0.0,INF_B179
106-230208,0.0,0.0,0.0,INF_B180
106-230210,0.0,0.0,0.0,INF_B181
106-230213,0.0,0.0,0.0,INF_B182
106-230215,0.0,0.0,0.0,INF_B183
106-230217,0.0,0.0,0.0,INF_B184
106-230220,0.0,0.0,0.0,INF_B185
106-230222,0.0,0.0,0.0,INF_B186
