state_name,county_name,year,median_age,average_household_income,per_capita_income
 Alabama,Lowndes County,2021,42.5,31961.0,21936.0
 Alabama,Macon County,2021,39.3,39303.0,22542.0
 Alabama,Madison County,2021,38.6,71153.0,40223.0
 Alabama,Marengo County,2021,41.7,35379.0,27823.0
 Alabama,Marion County,2021,44.4,44551.0,23093.0
 Alabama,Marshall County,2021,39.0,52938.0,27333.0
 Alabama,Mobile County,2021,38.3,51169.0,27942.0
 Alabama,Monroe County,2021,43.6,32631.0,21648.0
 Alabama,Montgomery County,2021,36.8,52511.0,30100.0
 Alabama,Morgan County,2021,40.6,56128.0,30412.0
 Alabama,Perry County,2021,38.8,27057.0,15484.0
 Alabama,Pickens County,2021,43.0,43389.0,23896.0
 Alabama,Pike County,2021,31.9,40106.0,24960.0
 Alabama,Randolph County,2021,44.1,47081.0,26926.0
 Alabama,Russell County,2021,37.1,44065.0,24871.0
 Alabama,St. Clair County,2021,40.5,65070.0,29803.0
 Alabama,Shelby County,2021,39.7,82592.0,42106.0
 Alabama,Sumter County,2021,35.8,27099.0,17481.0
 Alabama,Talladega County,2021,41.7,45400.0,24997.0
 Alabama,Tallapoosa County,2021,45.1,50652.0,27110.0
 Alabama,Tuscaloosa County,2021,33.6,57508.0,29479.0
 Alabama,Walker County,2021,41.7,47442.0,26127.0
 Alabama,Washington County,2021,43.9,44512.0,28585.0
 Alabama,Wilcox County,2021,40.8,36385.0,19231.0
 Alabama,Winston County,2021,45.4,46096.0,25624.0
 Alabama,Autauga County,2022,39.0,68315.0,35332.0
 Alabama,Baldwin County,2022,43.7,71039.0,38907.0
 Alabama,Barbour County,2022,40.6,39712.0,23378.0
 Alabama,Bibb County,2022,40.3,50669.0,24966.0
 Alabama,Blount County,2022,40.8,57440.0,29053.0
 Alabama,Bullock County,2022,39.2,36136.0,22115.0
 Alabama,Butler County,2022,41.6,44429.0,26334.0
 Alabama,Calhoun County,2022,39.2,54339.0,28227.0
 Alabama,Chambers County,2022,42.2,48805.0,27006.0
 Alabama,Cherokee County,2022,46.8,46621.0,28422.0
 Alabama,Chilton County,2022,39.9,62471.0,28497.0
 Alabama,Choctaw County,2022,46.7,43299.0,26343.0
 Alabama,Clarke County,2022,42.7,47549.0,29310.0
 Alabama,Clay County,2022,43.9,48074.0,27991.0
 Alabama,Cleburne County,2022,42.2,51553.0,28598.0
