state_name,state_abbr,county_name,state_fips,county_fips
 Alabama,AL,Hale County,01,065
 Alabama,AL,Henry County,01,067
 Alabama,AL,Houston County,01,069
 Alabama,AL,Jackson County,01,071
 Alabama,AL,Jefferson County,01,073
 Alabama,AL,Lamar County,01,075
 Alabama,AL,Lauderdale County,01,077
 Alabama,AL,Lawrence County,01,079
 Alabama,AL,Lee County,01,081
 Alabama,AL,Limestone County,01,083
 Alabama,AL,Lowndes County,01,085
 Alabama,AL,Macon County,01,087
 Alabama,AL,Madison County,01,089
 Alabama,AL,Marengo County,01,091
 Alabama,AL,Marion County,01,093
 Alabama,AL,Marshall County,01,095
 Alabama,AL,Mobile County,01,097
 Alabama,AL,Monroe County,01,099
 Alabama,AL,Montgomery County,01,101
 Alabama,AL,Morgan County,01,103
 Alabama,AL,Perry County,01,105
 Alabama,AL,Pickens County,01,107
 Alabama,AL,Pike County,01,109
 Alabama,AL,Randolph County,01,111
 Alabama,AL,Russell County,01,113
 Alabama,AL,St. Clair County,01,115
 Alabama,AL,Shelby County,01,117
 Alabama,AL,Sumter County,01,119
 Alabama,AL,Talladega County,01,121
 Alabama,AL,Tallapoosa County,01,123
 Alabama,AL,Tuscaloosa County,01,125
 Alabama,AL,Walker County,01,127
 Alabama,AL,Washington County,01,129
 Alabama,AL,Wilcox County,01,131
 Alabama,AL,Winston County,01,133
 Alaska,AK,Aleutians West Census Area,02,016
 Alaska,AK,Anchorage Municipality,02,020
 Alaska,AK,Bristol Bay Borough,02,060
 Alaska,AK,Chugach Census Area,02,063
 Alaska,AK,Denali Borough,02,068
 Alaska,AK,Dillingham Census Area,02,070
 Alaska,AK,Haines Borough,02,100
 Alaska,AK,Hoonah-Angoon Census Area,02,105
 Alaska,AK,Kenai Peninsula Borough,02,122
 Alaska,AK,Ketchikan Gateway Borough,02,130
 Alaska,AK,Kusilvak Census Area,02,158
 Alaska,AK,Matanuska-Susitna Borough,02,170
 Alaska,AK,Nome Census Area,02,180
 Alaska,AK,Northwest Arctic Borough,02,188
 Alaska,AK,Petersburg Borough,02,195
 Alaska,AK,Sitka City and Borough,02,220
 Alaska,AK,Skagway Municipality,02,230
 Alaska,AK,Wrangell City and Borough,02,275
 Alaska,AK,Yakutat City and Borough,02,282
 Alaska,AK,Yukon-Koyukuk Census Area,02,290
 Alaska,AK,Aleutians East Borough,02,013
 Alaska,AK,Bethel Census Area,02,050
 Alaska,AK,Copper River Census Area,02,066
 Alaska,AK,Fairbanks North Star Borough,02,090
 Alaska,AK,Juneau City and Borough,02,110
 Alaska,AK,Kodiak Island Borough,02,150
 Alaska,AK,Lake and Peninsula Borough,02,164
 Alaska,AK,North Slope Borough,02,185
 Alaska,AK,Prince of Wales-Hyder Census Area,02,198
 Alaska,AK,Southeast Fairbanks Census Area,02,240
 Alaska,AK,Aleutians East Borough,02,013
 Alaska,AK,Aleutians West Census Area,02,016
 Alaska,AK,Anchorage Municipality,02,020
 Alaska,AK,Bethel Census Area,02,050
 Alaska,AK,Bristol Bay Borough,02,060
 Alaska,AK,Chugach Census Area,02,063
 Alaska,AK,Copper River Census Area,02,066
 Alaska,AK,Denali Borough,02,068
 Alaska,AK,Dillingham Census Area,02,070
 Alaska,AK,Fairbanks North Star Borough,02,090
 Alaska,AK,Haines Borough,02,100
 Alaska,AK,Hoonah-Angoon Census Area,02,105
 Alaska,AK,Juneau City and Borough,02,110
 Alaska,AK,Kenai Peninsula Borough,02,122
 Alaska,AK,Ketchikan Gateway Borough,02,130
 Alaska,AK,Kodiak Island Borough,02,150
 Alaska,AK,Kusilvak Census Area,02,158
 Alaska,AK,Lake and Peninsula Borough,02,164
 Alaska,AK,Matanuska-Susitna Borough,02,170
 Alaska,AK,Nome Census Area,02,180
 Alaska,AK,North Slope Borough,02,185
 Alaska,AK,Northwest Arctic Borough,02,188
 Alaska,AK,Petersburg Borough,02,195
 Alaska,AK,Prince of Wales-Hyder Census Area,02,198
 Alaska,AK,Sitka City and Borough,02,220
 Alaska,AK,Skagway Municipality,02,230
 Alaska,AK,Southeast Fairbanks Census Area,02,240
 Alaska,AK,Wrangell City and Borough,02,275
 Alaska,AK,Yakutat City and Borough,02,282
 Alaska,AK,Yukon-Koyukuk Census Area,02,290
 Alaska,AK,Aleutians East Borough,02,013
 Alaska,AK,Aleutians West Census Area,02,016
 Alaska,AK,Anchorage Municipality,02,020
 Alaska,AK,Bethel Census Area,02,050
 Alaska,AK,Bristol Bay Borough,02,060
 Alaska,AK,Chugach Census Area,02,063
 Alaska,AK,Copper River Census Area,02,066
 Alaska,AK,Denali Borough,02,068
 Alaska,AK,Dillingham Census Area,02,070
 Alaska,AK,Fairbanks North Star Borough,02,090
 Alaska,AK,Haines Borough,02,100
 Alaska,AK,Hoonah-Angoon Census Area,02,105
 Alaska,AK,Juneau City and Borough,02,110
 Alaska,AK,Kenai Peninsula Borough,02,122
 Alaska,AK,Ketchikan Gateway Borough,02,130
 Alaska,AK,Kodiak Island Borough,02,150
 Alaska,AK,Kusilvak Census Area,02,158
